,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
13044,13044,53149888,20241221052002,Affordable&Clean-2 bathrooms. Kitchenette. Balcony,"2 separarte rooms in an official guest-apartment of three rooms in total. Very close to Tempelhof Aiport Park, lots of bars and restaurants, supermarkets as well as transport connections.<br />Bedroom 1:<br />35 m2 with own balcony. P.te bathroom is located in the corridor. This room has a king size bed and a single boxspring bed. It is bright and spacious<br />Bedroom : 45 m2 with p.te bathroom and kitchenette with induction, boiler, sink, fridge etc. It has 5 single  beds. It is very quiet and bright.",7977414,M I N I T E L,f,7.0,13.0,t,t,52.47878,13.4249,Private room in rental unit,Private room,8,2.0,2.0,7.0,$257.00,1125,1,1,1125,1125,1.0,1125.0,,t,24,54,84,84,10,2,0,4.5,4.1,4.4,5.0,5.0,4.7,4.4,"First name and Last name: F.M Paolini <br/> Contact address: P.zza S.M in Passione, 16123, Genoa, italia <br/>Listing address: HermannStr 55, 12049, berlin, brandenbourg",t,7,1,6,0,0.29
13048,13048,1565047,20241221052002,"bed in a 8-bed dorm mixed Ensuite ,Kitchen 1","with en-suite bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for € 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 € deposit<br />Keycard: 2,00 € deposit",8250486,Singer Hostel Berlin,f,27.0,49.0,t,t,52.51779,13.4258,Shared room in hostel,Shared room,8,1.0,1.0,8.0,$300.00,1125,1,3,1,1125,1.0,209.7,,t,30,54,80,297,132,8,1,4.54,4.61,4.47,4.76,4.7,4.45,4.54,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Duetschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",t,27,0,11,16,1.0
13052,13052,1114495782424259173,20241221052002,URBAN FLATS Berlin | Flat No. 2021 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.5254089126939,13.398775073992123,Entire rental unit,Entire home/apt,8,1.0,2.0,5.0,$293.00,365,1,2,1125,1125,2.0,1125.0,,t,12,37,59,64,12,12,0,4.75,4.83,4.67,5.0,4.92,4.92,4.33,"First name and Last name: URBAN FLATS Berlin <br/> Contact address: Ringbahnstr.2-14, 12051, Berlin, Deutschland <br/>Listing address: Große Hamburger Str. 20, 10115, Berlin, Deutschland ",t,44,44,0,0,1.61
13053,13053,881100962020102125,20241221052002,Flattering Berlin 18,"Enjoy this newly renovated spacious apartment in the vibrant heart of Berlin. Here you'll find the perfect mix of modern style in addition to the comfort of home. Prepare your favorite meals in the spacious kitchen, relax in the dining room, or explore the incredible array of entertainment and fun the city has to offer. <br />You will feel at home as you immerse yourself in all that this amazing destination has to offer.",512039689,Flattering,f,10.0,10.0,t,t,52.55013,13.36721,Entire rental unit,Entire home/apt,9,1.0,3.0,6.0,$165.00,365,1,7,365,365,4.8,365.0,,t,14,31,41,302,147,126,6,4.53,4.52,4.46,4.78,4.77,4.12,4.47,01/Z/NA/014603-22,t,10,10,0,0,9.42
13054,13054,734378997169678946,20241221052002,Traum Townhouse in Berlin Mitte,"Discover urban life in our three-story townhouse ideally located in the heart of Berlin Mitte-Kreuzberg! Perfect for a family, couples or even friends.",7348091,Anna,f,2.0,3.0,t,t,52.5039573096406,13.416858070195094,Entire home,Entire home/apt,5,2.0,3.0,3.0,$240.00,700,92,92,700,700,92.0,700.0,,t,28,58,88,178,0,0,0,,,,,,,,,f,1,1,0,0,
13055,13055,951753766715845433,20241221052002,Spacious 3 bedroom apartment in Kreuzberg Mitte.,"This listing is only for long-term rentals with a notice period of 3 months. Ein unbefristeter Wohnraummietvertrag wird abgeschlossen.<br /><br />LOCATION:<br />The apartment is located in a very beautiful building in the middle of the hip Berlin district Kreuzberg close to Berlin Mitte! The underground station Schönleinstraße can be reached by foot within few minutes. It is the hotspot for charming cafes, bars and restaurants that serve specialties from all over the world.",529388435,Gabi,f,96.0,102.0,t,t,52.49626,13.4252,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,$90.00,90,30,30,90,90,30.0,90.0,,t,29,59,89,269,0,0,0,,,,,,,,"Legal entity name and Legal form: ZHI <br/>Legal representatives or Trade register number: HRB <br/> Entity address: Gipsstraße, 10119, Berlin, Germany <br/>Listing address: Ohlauer Straße, 10999, Berlin, Deutschland",f,71,12,59,0,
13058,13058,1162460671510322369,20241221052002,4/ X Loft Art Design 2 BR Factory Kreuzberg bright,"In a quiet backyard between the hip Kreuzberg and Mitte, you will find relaxation in our stylish loft. Enjoy the central location and explore Berlin's food & lifestyle scene easily on foot. Furnished with high quality vintage design classics and comfortable amenities (Bruno Ray ,De Sede, Lehni, Zieta, B&B Italia, Moroso, Tapioviaara, Artemide and contemporary art by renowned German artists, your stay becomes a unique experience.",550988600,Darius,f,5.0,5.0,t,t,52.50153,13.41422,Entire loft,Entire home/apt,6,1.0,2.0,0.0,$173.00,365,3,5,365,365,4.9,365.0,,t,18,43,71,346,7,7,0,4.71,4.86,4.86,4.71,4.57,4.71,4.57,08/Z/AZ/006867-33,t,5,5,0,0,1.12
13059,13059,30756552,20241221052002,"Authentic Spacious Loft Apartment, super central","It is a 70sm large with 4m ceiling hights unique apartment in a very central location. The central heating will keep you warm and the 2 bedrooms with a hugh king-size bed with 2 seperate mattresses, the queen size bed as well as the double sleeping coach allows 6 people to sleep comfortably. There is a fully fitted kitchen with a 2 stove cover and an oven. Of cause my flat has a toillete and shower as well. The bedroom windows have thick curtains to block out all daylight.",171262403,Jonas,t,3.0,3.0,t,f,52.52141,13.35052,Entire rental unit,Entire home/apt,8,1.0,2.0,3.0,$89.00,1125,2,6,1125,1125,4.0,1125.0,,t,10,19,49,133,158,55,4,4.65,4.7,4.52,4.89,4.84,4.78,4.54,"Legal entity name and Legal form: JVS <br/>Legal representatives or Trade register number: HRB 142309 B <br/> Entity address: Gerichtstr, 13347, Berlin, Berlin <br/>Listing address: Flemingstr, 10557, Berlin, Berlin",t,3,3,0,0,2.16
13067,13067,1094217423852610184,20241221052002,URBAN FLATS Berlin | Flat No. 403 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.52464,13.40053,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,$217.00,365,1,2,1125,1125,2.0,1125.0,,t,24,54,78,88,21,21,1,4.57,4.76,4.67,4.81,4.81,4.9,4.62,"First name and Last name: URBAN FLATS Berlin <br/> Contact address: Rinbahnstr.2-14, 12051, Berlin, Deutschland <br/>Listing address: Oranienburger Str. 11, 10178, Berlin, Deutschland",t,44,44,0,0,2.37
13068,13068,18289300,20241221052002,"LEGAL and central Luxury Apt., underfloor heating","Luxury large apartment with underfloor heating in the heart of Berlin 1 mnt. walk from metro, rail station/bus/ taxi, 5 mnts. walk from Berlin's main shopping street Kurfürstendamm. Child friendly. Own gated underground parking. Large shopping centre Wilmersdorfer Arcaden, grocery shops, supermarket, Berlin's largest pedestrian shopping area (Fußgängerzone), huge variety of restaurants of all cuisines - all within 2-3 minutes walking distance! We have legal permit for hosting short term guests.",126471588,Hridik,f,1.0,1.0,t,t,52.50466,13.31007,Entire rental unit,Entire home/apt,9,2.0,3.0,4.0,$389.00,30,3,3,1125,1125,3.0,1125.0,,t,24,54,84,174,163,9,0,4.58,4.72,4.39,4.63,4.69,4.82,4.4,04/Z/ZA/005725-17,t,1,1,0,0,1.77
13104,13104,17489955,20241221052002,"Downtown House Friedrichshain - quite, nice, city","Nice apartment in the middle of Friedrichshain. Top location, in 10 minutes by subway to Alexanderplatz. The apartment is newly renovated and furnished and is suitable for up to 6 people. Location: ground floor, kitchen, 1 bathroom, and 3 bedrooms.",6732062,Enrico,f,4.0,14.0,t,t,52.51743,13.45493,Entire rental unit,Entire home/apt,6,1.0,3.0,7.0,$180.00,1125,3,3,30,30,3.0,30.0,,t,21,47,68,281,82,27,0,4.84,4.88,4.83,4.84,4.7,4.83,4.7,02/Z/AZ/019937-24,t,4,4,0,0,1.07
13113,13113,6183349,20241221052002,130 m2 sunny home for families,"Perfect location for families: charming flat with 2 sunny balconies, modern equipment in northern Prenzlauer Berg. Stay with your family (2 adults and 2-3 kids) to discover Berlin and feel at home, enjoy garden and playground at the house.",32072532,Inga & Golo,f,1.0,2.0,t,t,52.55588,13.41837,Entire rental unit,Entire home/apt,5,,3.0,,,16,2,2,16,16,2.0,16.0,,t,0,0,0,0,11,0,0,5.0,5.0,4.91,5.0,5.0,5.0,4.91,03/Z/AZ/005781-20,f,1,1,0,0,0.1
13127,13127,10329556,20241221052002,"Big, Modern & central apartment","Very beautiful and fully equipped Apartment with 2 bedrooms, 1 nursery and balcony in the heart of cool Berlin-Friedrichshain with all its shops, bars, Restaurant and entertainment as well as perfect Access to public Transportation (Ostkreuz).",53155471,Cedric,f,1.0,1.0,t,t,52.50545,13.46397,Entire rental unit,Entire home/apt,6,,2.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,0,0,0,,,,,,,,,f,1,1,0,0,
